bread;5
milk;2
butter;34
salt;1
bread;10
milk;20
butter;41
salt;2
bread;38
milk;38
butter;1
salt;28
bread;33
milk;2
butter;25
salt;21
bread;31
milk;33
butter;25
salt;20
bread;31
milk;17
butter;24
salt;39
bread;16
milk;5
butter;1
salt;15
bread;18
milk;18
butter;18
salt;49
bread;41
milk;49
butter;23
salt;3
bread;3
milk;49
butter;14
salt;42
bread;31
milk;22
butter;2
salt;29
bread;33
milk;32
butter;33
salt;25
bread;28
milk;45
butter;10
salt;2
bread;26
milk;51
butter;20
salt;30
bread;34
milk;22
butter;50
salt;39
bread;37
milk;14
butter;45
salt;20
bread;39
milk;36
butter;35
salt;7
bread;20
milk;38
butter;31
salt;52
bread;47
milk;27
butter;11
salt;30
bread;40
milk;42
butter;10
salt;11
bread;1
milk;22
butter;9
salt;29
bread;16
milk;23
butter;46
salt;29
